Floor,Building Code,Building Description,Room #
1,623,1 UNIVERSITY ROAD,104
1,623,1 UNIVERSITY ROAD,150G
1,623,1 UNIVERSITY ROAD,150K
10,500,10 BUICK STREET,1001
5,500,10 BUICK STREET,505
5,500,10 BUICK STREET,506
5,500,10 BUICK STREET,507
5,500,10 BUICK STREET,508
5,500,10 BUICK STREET,509
5,500,10 BUICK STREET,510
5,500,10 BUICK STREET,511
5,500,10 BUICK STREET,512
5,500,10 BUICK STREET,513
5,500,10 BUICK STREET,514
5,500,10 BUICK STREET,515
5,500,10 BUICK STREET,516
6,500,10 BUICK STREET,601
5,500,10 BUICK STREET,504
6,500,10 BUICK STREET,602
6,500,10 BUICK STREET,603
6,500,10 BUICK STREET,604
6,500,10 BUICK STREET,605
6,500,10 BUICK STREET,606
6,500,10 BUICK STREET,607
6,500,10 BUICK STREET,608
6,500,10 BUICK STREET,609
6,500,10 BUICK STREET,610
6,500,10 BUICK STREET,611
5,500,10 BUICK STREET,517
5,500,10 BUICK STREET,503
5,500,10 BUICK STREET,501
6,500,10 BUICK STREET,612
3,500,10 BUICK STREET,310
3,500,10 BUICK STREET,311
3,500,10 BUICK STREET,312
3,500,10 BUICK STREET,313
3,500,10 BUICK STREET,314
3,500,10 BUICK STREET,315
3,500,10 BUICK STREET,316
3,500,10 BUICK STREET,317
4,500,10 BUICK STREET,401
4,500,10 BUICK STREET,402
4,500,10 BUICK STREET,403
4,500,10 BUICK STREET,404
4,500,10 BUICK STREET,405
4,500,10 BUICK STREET,406
4,500,10 BUICK STREET,407
4,500,10 BUICK STREET,408
4,500,10 BUICK STREET,409
4,500,10 BUICK STREET,410
4,500,10 BUICK STREET,411
4,500,10 BUICK STREET,412
4,500,10 BUICK STREET,413
4,500,10 BUICK STREET,414
4,500,10 BUICK STREET,415
4,500,10 BUICK STREET,416
4,500,10 BUICK STREET,417
5,500,10 BUICK STREET,502
6,500,10 BUICK STREET,613
6,500,10 BUICK STREET,615
3,500,10 BUICK STREET,309
8,500,10 BUICK STREET,812
8,500,10 BUICK STREET,813
8,500,10 BUICK STREET,814
8,500,10 BUICK STREET,815
8,500,10 BUICK STREET,816
8,500,10 BUICK STREET,817
9,500,10 BUICK STREET,901
9,500,10 BUICK STREET,902
9,500,10 BUICK STREET,903
9,500,10 BUICK STREET,904
9,500,10 BUICK STREET,905
8,500,10 BUICK STREET,810
9,500,10 BUICK STREET,906
9,500,10 BUICK STREET,908
9,500,10 BUICK STREET,909
9,500,10 BUICK STREET,910
9,500,10 BUICK STREET,911
9,500,10 BUICK STREET,912
9,500,10 BUICK STREET,913
9,500,10 BUICK STREET,914
9,500,10 BUICK STREET,915
9,500,10 BUICK STREET,916
9,500,10 BUICK STREET,917
1,500,10 BUICK STREET,G06
9,500,10 BUICK STREET,907
8,500,10 BUICK STREET,809
8,500,10 BUICK STREET,808
8,500,10 BUICK STREET,807
6,500,10 BUICK STREET,616
6,500,10 BUICK STREET,617
7,500,10 BUICK STREET,701
7,500,10 BUICK STREET,702
7,500,10 BUICK STREET,703
7,500,10 BUICK STREET,704
7,500,10 BUICK STREET,705
7,500,10 BUICK STREET,706
7,500,10 BUICK STREET,707
7,500,10 BUICK STREET,708
7,500,10 BUICK STREET,709
7,500,10 BUICK STREET,710
7,500,10 BUICK STREET,711
7,500,10 BUICK STREET,712
7,500,10 BUICK STREET,713
7,500,10 BUICK STREET,714
7,500,10 BUICK STREET,715
7,500,10 BUICK STREET,716
7,500,10 BUICK STREET,717
8,500,10 BUICK STREET,801
8,500,10 BUICK STREET,802
8,500,10 BUICK STREET,803
8,500,10 BUICK STREET,804
8,500,10 BUICK STREET,805
8,500,10 BUICK STREET,806
6,500,10 BUICK STREET,614
3,500,10 BUICK STREET,308
8,500,10 BUICK STREET,811
3,500,10 BUICK STREET,306
12,500,10 BUICK STREET,1204
12,500,10 BUICK STREET,1205
12,500,10 BUICK STREET,1206
12,500,10 BUICK STREET,1212
12,500,10 BUICK STREET,1213
12,500,10 BUICK STREET,1214
12,500,10 BUICK STREET,1215
12,500,10 BUICK STREET,1216
12,500,10 BUICK STREET,1217
13,500,10 BUICK STREET,1301
13,500,10 BUICK STREET,1302
13,500,10 BUICK STREET,1303
13,500,10 BUICK STREET,1304
13,500,10 BUICK STREET,1305
13,500,10 BUICK STREET,1306
13,500,10 BUICK STREET,1307
13,500,10 BUICK STREET,1312
13,500,10 BUICK STREET,1313
13,500,10 BUICK STREET,1314
13,500,10 BUICK STREET,1315
13,500,10 BUICK STREET,1316
13,500,10 BUICK STREET,1317
13,500,10 BUICK STREET,1318
14,500,10 BUICK STREET,1401
14,500,10 BUICK STREET,1402
12,500,10 BUICK STREET,1203
14,500,10 BUICK STREET,1403
12,500,10 BUICK STREET,1202
11,500,10 BUICK STREET,1118
10,500,10 BUICK STREET,1004
10,500,10 BUICK STREET,1003
10,500,10 BUICK STREET,1002
3,500,10 BUICK STREET,307
10,500,10 BUICK STREET,1006
10,500,10 BUICK STREET,1012
10,500,10 BUICK STREET,1013
10,500,10 BUICK STREET,1014
10,500,10 BUICK STREET,1015
10,500,10 BUICK STREET,1016
10,500,10 BUICK STREET,1017
1,500,10 BUICK STREET,102
11,500,10 BUICK STREET,1101
11,500,10 BUICK STREET,1102
11,500,10 BUICK STREET,1103
11,500,10 BUICK STREET,1104
11,500,10 BUICK STREET,1105
11,500,10 BUICK STREET,1106
11,500,10 BUICK STREET,1107
11,500,10 BUICK STREET,1112
11,500,10 BUICK STREET,1113
11,500,10 BUICK STREET,1114
11,500,10 BUICK STREET,1115
11,500,10 BUICK STREET,1116
11,500,10 BUICK STREET,1117
12,500,10 BUICK STREET,1201
14,500,10 BUICK STREET,1404
10,500,10 BUICK STREET,1005
14,500,10 BUICK STREET,1406
17,500,10 BUICK STREET,1704
17,500,10 BUICK STREET,1705
17,500,10 BUICK STREET,1706
17,500,10 BUICK STREET,1707
2,500,10 BUICK STREET,201
