building_floor,building_desc,latitude,longitude,building_type,capacity,mean_density_cnt,max_density_cnt,average_dc_ratio,max_dc_ratio,Residential Building Type,Mechanical Ventilation
1,915 COMMONWEALTH AVENUE,42.3518,-71.1165,Student Support,204,80.63353487686182,353,0.3952624258669697,1.7303921568627452,,Yes
1,33 HARRY AGGANIS WAY,42.3532,-71.1178,Residential,84,79.65136534839925,370,0.948230539861896,4.404761904761905,Large Dormitory-Style,Yes
1,775 COMMONWEALTH AVENUE,42.3509,-71.109,Student Support,534,78.56353344257411,534,0.1471227218025732,1.0,,Yes
2,890 COMMONWEALTH AVENUE,42.3505,-71.1156,Academic,238,73.77037837837838,367,0.3099595730183965,1.5420168067226891,,Yes
1,2 SILBER WAY,42.3497,-71.1009,Academic,87,73.43170503277962,417,0.8440425865836738,4.793103448275862,,Yes
1,1019 COMMONWEALTH AVENUE,42.3523,-71.1214,Residential,50,72.45283836487071,661,1.4490567672974144,13.22,Large Dormitory-Style,Yes
2,595 COMMONWEALTH AVENUE,42.3496,-71.0997,Academic,213,72.19832014018974,645,0.3389592494844589,3.028169014084507,,Yes
1,275 BABCOCK STREET,42.3528,-71.1204,Residential,250,69.18003565062389,715,0.2767201426024955,2.86,Large Dormitory-Style,Yes
1,1010 COMMONWEALTH AVENUE,42.3513,-71.121,Academic,92,62.838983774551664,365,0.6830324323320833,3.967391304347826,,Yes
1,163-179 AMORY STREET,42.3502,-71.1136,Administrative,103,62.57086306323917,411,0.6074841074100891,3.9902912621359214,,Yes
-1,64-86 CUMMINGTON MALL,42.3487,-71.104,Academic,0,59.99750651705769,271,inf,inf,,Yes
1,595 COMMONWEALTH AVENUE,42.3496,-71.0997,Academic,245,59.5925944333996,610,0.2432350793199983,2.489795918367347,,Yes
3,595 COMMONWEALTH AVENUE,42.3496,-71.0997,Academic,269,53.81736927635981,506,0.2000645698005941,1.8810408921933088,,Yes
1,590 COMMONWEALTH AVENUE,42.3484,-71.1002,Research,326,53.01517739495388,481,0.1626232435428033,1.4754601226993864,,Yes
1,1 UNIVERSITY ROAD,42.3512,-71.11,Academic,307,51.58559521265228,351,0.1680312547643396,1.1433224755700326,,Yes
4,595 COMMONWEALTH AVENUE,42.3496,-71.0997,Academic,314,49.82912045395925,415,0.1586914664138829,1.321656050955414,,Yes
4,700 COMMONWEALTH AVENUE,42.3493,-71.104,Residential,353,46.68630952380953,398,0.1322558343450695,1.1274787535410764,Large Dormitory-Style,Partial
1,100 BAY STATE ROAD,42.3498,-71.0979,Student Support,149,45.77516989022478,522,0.307215905303522,3.503355704697986,,Yes
1,765 COMMONWEALTH AVENUE,42.351,-71.1074,Academic,249,42.59518450667365,274,0.1710649980187696,1.1004016064257027,,Yes
4,808 COMMONWEALTH AVENUE,42.3501,-71.1117,Academic,197,42.02561190300415,563,0.2133279792030667,2.8578680203045685,,Yes
2,928 COMMONWEALTH AVENUE,42.3509,-71.1175,Academic,109,41.606437125748506,282,0.3817104323463166,2.5871559633027523,,Yes
1,808 COMMONWEALTH AVENUE,42.3501,-71.1117,Academic,320,40.57100838004329,342,0.1267844011876353,1.06875,,Yes
1,745 - 755 COMMONWEALTH AVENUE,42.3505,-71.1073,Academic,129,40.21941260392581,319,0.3117783922784946,2.4728682170542635,,Partial
1,565 COMMONWEALTH AVENUE,42.3494,-71.0981,Academic,123,39.77710645563801,356,0.323391109395431,2.894308943089431,,Yes
2,765 COMMONWEALTH AVENUE,42.351,-71.1074,Academic,196,38.07496839443742,266,0.1942600428287623,1.3571428571428572,,Yes
1,277 BABCOCK STREET,42.3535,-71.1206,Residential,80,36.04446768250174,209,0.4505558460312717,2.6125,Large Dormitory-Style,Yes
5,871 COMMONWEALTH AVENUE,42.3515,-71.1146,Academic,160,35.82045147196505,282,0.2238778216997815,1.7625,,Yes
1,273 BABCOCK STREET,42.3525,-71.1198,Residential,60,34.12708274498729,209,0.5687847124164549,3.4833333333333334,Large Dormitory-Style,Yes
1,771 COMMONWEALTH AVENUE,42.351,-71.108,Student Support,0,33.57813383600377,288,inf,inf,,Yes
2,33 HARRY AGGANIS WAY,42.3532,-71.1178,Residential,206,32.73106016525079,183,0.1588886415788873,0.8883495145631068,Large Dormitory-Style,Yes
2,675 - 725 COMMONWEALTH AVENUE,42.3502,-71.1046,Research,0,32.68295912492804,320,inf,inf,,Partial
3,771 COMMONWEALTH AVENUE,42.351,-71.108,Student Support,109,32.65491602974055,391,0.2995863855939499,3.5871559633027523,,Yes
1,610 BEACON STREET,42.3497,-71.0945,Residential,110,32.19529514267044,235,0.2926845012970039,2.136363636363636,Large Dormitory-Style,Yes
3,855 COMMONWEALTH AVENUE,42.3514,-71.1139,Academic,189,32.05097935415564,253,0.1695819013447388,1.3386243386243386,,Yes
4,765 COMMONWEALTH AVENUE,42.351,-71.1074,Academic,228,30.904090085425835,227,0.1355442547606396,0.9956140350877192,,Yes
11,700 COMMONWEALTH AVENUE,42.3493,-71.104,Residential,133,30.89797526971772,291,0.2323156035317121,2.18796992481203,Large Dormitory-Style,Partial
1,640 COMMONWEALTH AVENUE,42.3488,-71.1023,Academic,142,30.577269433806023,239,0.2153328833366621,1.6830985915492958,,Yes
-1,675 - 725 COMMONWEALTH AVENUE,42.3502,-71.1046,Research,0,28.565046695615965,371,inf,inf,,Partial
2,855 COMMONWEALTH AVENUE,42.3514,-71.1139,Academic,176,27.828382352941176,175,0.1581158088235294,0.9943181818181818,,Yes
-1,915 COMMONWEALTH AVENUE,42.3518,-71.1165,Student Support,0,27.75879063071045,187,inf,inf,,Yes
3,871 COMMONWEALTH AVENUE,42.3515,-71.1146,Academic,177,27.52616111256888,185,0.1555150345342874,1.0451977401129944,,Yes
1,264-270 BAY STATE ROAD,42.3507,-71.1054,Academic,58,25.806375504640062,337,0.4449375087006907,5.810344827586207,,No
2,871 COMMONWEALTH AVENUE,42.3515,-71.1146,Academic,104,25.67102308710922,202,0.2468367604529732,1.9423076923076923,,Yes
1,928 COMMONWEALTH AVENUE,42.3509,-71.1175,Academic,43,25.57352214720896,181,0.594733073190906,4.209302325581396,,Yes
1,771 COMMONWEALTH AVENUE,42.351,-71.108,Student Support,73,25.448997973429407,309,0.3486164105949234,4.232876712328767,,Yes
-1,855 COMMONWEALTH AVENUE,42.3514,-71.1139,Academic,0,25.086742701684628,163,inf,inf,,Yes
2,590 COMMONWEALTH AVENUE,42.3484,-71.1002,Research,312,25.03154015506844,204,0.0802292953688091,0.6538461538461539,,Yes
2,775 COMMONWEALTH AVENUE,42.3509,-71.109,Student Support,382,24.895999374902328,538,0.0651727732327286,1.4083769633507854,,Yes
1,871 COMMONWEALTH AVENUE,42.3515,-71.1146,Academic,167,24.78191586232016,343,0.1483947057623962,2.053892215568862,,Yes
3,675 - 725 COMMONWEALTH AVENUE,42.3502,-71.1046,Research,0,24.609026337293358,211,inf,inf,,Partial
4,871 COMMONWEALTH AVENUE,42.3515,-71.1146,Academic,115,24.57164984243978,183,0.2136665203690415,1.5913043478260869,,Yes
3,765 COMMONWEALTH AVENUE,42.351,-71.1074,Academic,172,23.853312636703592,143,0.1386820502133929,0.8313953488372093,,Yes
1,855 COMMONWEALTH AVENUE,42.3514,-71.1139,Academic,243,23.835074717531285,155,0.098086727232639,0.6378600823045267,,Yes
1,635 COMMONWEALTH AVENUE,42.3499,-71.102,Research,93,23.79779900834442,296,0.2558903119176819,3.182795698924731,,Yes
6,700 COMMONWEALTH AVENUE,42.3493,-71.104,Residential,133,23.787350362899424,135,0.1788522583676648,1.0150375939849623,Large Dormitory-Style,Partial
1,925 COMMONWEALTH AVENUE,42.3522,-71.1177,Athletic,0,23.7316329985329,146,inf,inf,,Yes
3,915 COMMONWEALTH AVENUE,42.3518,-71.1165,Student Support,120,23.71350393495596,222,0.1976125327912996,1.85,,Yes
