weight,building_floor,building_desc,latitude,longitude,building_type,capacity,mean_density_cnt,max_density_cnt,average_dc_ratio,max_dc_ratio,Residential Building Type,Mechanical Ventilation,Room Name,Candidacy,High Volume
1703.998059329082,3,285 BABCOCK STREET,42.354,-71.1203,Athletic,1138,9.599805932908234,536,0.0084356818391109,0.4710017574692443,,Yes,Case Center Eilberg Lounge ,,Yes
1614.5451776649747,c,925 COMMONWEALTH AVENUE,42.3522,-71.1177,Athletic,0,48.95451776649746,375,inf,inf,,Yes,Agganis Arena Friends of Hockey Lounge ,Maybe,Yes
598.2118555741672,3,925 COMMONWEALTH AVENUE,42.3522,-71.1177,Athletic,29,41.11185557416713,1857,1.4176501922126596,64.03448275862068,,Yes,,,
493.6014381099127,3,775 COMMONWEALTH AVENUE,42.3509,-71.109,Student Support,144,14.260143810991268,117,0.0990287764652171,0.8125,,Yes,George Sherman Union Conference Rooms,Good candidate for bottle fillers,Yes
324.3480466580263,-1,700 COMMONWEALTH AVENUE,42.3493,-71.104,Residential,0,53.27402332901315,363,inf,inf,Large Dormitory-Style,Partial,,,
262.9522640480087,2,100 ASHFORD STREET,42.3546,-71.1236,Athletic,48,23.852264048008728,797,0.4969221676668485,16.604166666666668,,Yes,,,
255.13427302144464,1,700 COMMONWEALTH AVENUE,42.3493,-71.104,Residential,171,33.36713651072232,314,0.1951294532790778,1.8362573099415205,Large Dormitory-Style,Partial,,,
174.84887387387388,1,949 COMMONWEALTH AVENUE,42.3519,-71.1187,Academic,45,45.24887387387388,432,1.0055305305305309,9.6,,Yes,,,
161.30638337701234,4,617-621 COMMONWEALTH AVENUE,42.3497,-71.1013,Academic,30,6.068794459004119,159,0.2022931486334706,5.3,,No,,,
159.69770461085457,2,8 ST. MARY'S STREET,42.3492,-71.1061,Research,145,39.09770461085458,402,0.2696393421438247,2.7724137931034485,,Yes,,,
156.4947511312217,2,540 COMMONWEALTH AVENUE,,,Academic,38,35.29475113122172,404,0.9288092402953084,10.63157894736842,,Yes,,,
140.1428073289799,4,285 BABCOCK STREET,42.354,-71.1203,Athletic,32,12.642807328979902,425,0.3950877290306219,13.28125,,Yes,,,
132.1275373721479,2,285 BABCOCK STREET,42.354,-71.1203,Athletic,917,11.527537372147917,402,0.0125709240699541,0.4383860414394765,,Yes,,,
131.6557754637611,2,750 COMMONWEALTH AVENUE,42.3498,-71.108,Academic,227,36.25577546376112,318,0.159717072527582,1.4008810572687225,,Yes,,,
124.51080672776715,t,675 - 725 COMMONWEALTH AVENUE,42.3502,-71.1046,Research,0,9.155403363883574,177,inf,inf,,Partial,,,
122.97343565525384,2,3 - 5 CUMMINGTON MALL,42.3487,-71.1013,Research,127,13.991145218417946,90,0.1101664977828184,0.7086614173228346,,,,,
115.37722567287784,2,771 COMMONWEALTH AVENUE,42.351,-71.108,Student Support,92,30.477225672877847,283,0.3312741920964983,3.0760869565217392,,Yes,,,
107.82683367768595,k,30 HARRY AGGANIS WAY,42.3529,-71.1189,Administrative,0,2.942277892561984,110,inf,inf,,No,,,
107.30342679127725,2,152 BAY STATE ROAD,,,Academic,15,9.967808930425752,86,0.6645205953617168,5.733333333333333,,No,,,
98.4612064892109,-1,925 COMMONWEALTH AVENUE,42.3522,-71.1177,Athletic,0,18.6612064892109,266,inf,inf,,Yes,,,
86.96841858831792,e,140 BAY STATE ROAD,42.35,-71.0998,Residential,0,18.28420929415896,84,inf,inf,Large Dormitory-Style,Partial,,,
85.76383726770467,w,140 BAY STATE ROAD,42.35,-71.0998,Residential,0,17.981918633852334,83,inf,inf,Large Dormitory-Style,Partial,,,
82.71297376093295,2,735 COMMONWEALTH AVENUE,42.3506,-71.1064,Student Support,12,3.870991253644315,79,0.3225826044703596,6.583333333333333,,No,,,
79.0989239046887,2,275 BABCOCK STREET,42.3528,-71.1204,Residential,62,13.3989239046887,219,0.2161116758820758,3.532258064516129,Large Dormitory-Style,Yes,,,
76.57171927575709,3,704 COMMONWEALTH AVENUE,42.3494,-71.1053,Academic,30,4.823906425252363,69,0.1607968808417454,2.3,,No,,,
65.59026200212026,2,512 BEACON STREET,42.3509,-71.0903,Residential,30,8.363420667373417,45,0.2787806889124472,1.5,Large Dormitory-Style,No,,,
