building_floor,building_desc,latitude,longitude,building_type,capacity,mean_density_cnt,max_density_cnt,average_dc_ratio,max_dc_ratio,Residential Building Type,Mechanical Ventilation,Room Name,Candidacy,High Volume,high_volumn
-1,700 COMMONWEALTH AVENUE,42.3493,-71.104,Residential,0,53.27402332901315,363,inf,inf,Large Dormitory-Style,Partial,,,,False
c,925 COMMONWEALTH AVENUE,42.3522,-71.1177,Athletic,0,48.95451776649746,375,inf,inf,,Yes,Agganis Arena Friends of Hockey Lounge ,Maybe,Yes,True
1,949 COMMONWEALTH AVENUE,42.3519,-71.1187,Academic,45,45.24887387387388,432,1.0055305305305309,9.6,,Yes,,,,False
3,925 COMMONWEALTH AVENUE,42.3522,-71.1177,Athletic,29,41.11185557416713,1857,1.4176501922126596,64.03448275862068,,Yes,,,,False
2,8 ST. MARY'S STREET,42.3492,-71.1061,Research,145,39.09770461085458,402,0.2696393421438247,2.7724137931034485,,Yes,,,,False
2,750 COMMONWEALTH AVENUE,42.3498,-71.108,Academic,227,36.25577546376112,318,0.159717072527582,1.4008810572687225,,Yes,,,,False
2,540 COMMONWEALTH AVENUE,,,Academic,38,35.29475113122172,404,0.9288092402953084,10.63157894736842,,Yes,,,,False
1,700 COMMONWEALTH AVENUE,42.3493,-71.104,Residential,171,33.36713651072232,314,0.1951294532790778,1.8362573099415205,Large Dormitory-Style,Partial,,,,False
2,771 COMMONWEALTH AVENUE,42.351,-71.108,Student Support,92,30.477225672877847,283,0.3312741920964983,3.0760869565217392,,Yes,,,,False
2,100 ASHFORD STREET,42.3546,-71.1236,Athletic,48,23.852264048008728,797,0.4969221676668485,16.604166666666668,,Yes,,,,False
-1,96-100 CUMMINGTON MALL,42.3489,-71.1048,Academic,0,23.324882629107982,109,inf,inf,,Yes,,,,False
5,575 COMMONWEALTH AVENUE,42.3495,-71.0987,Residential,64,22.67361909454207,107,0.3542752983522198,1.671875,Large Dormitory-Style,Yes,,,,False
3,575 COMMONWEALTH AVENUE,42.3495,-71.0987,Residential,64,22.36092985318108,120,0.3493895289559543,1.875,Large Dormitory-Style,Yes,,,,False
2,300 BABCOCK STREET,42.3542,-71.1212,Athletic,183,21.742282507015904,114,0.1188102869235841,0.6229508196721312,,Yes,,,,False
