building_floor,building_desc,latitude,longitude,building_type,capacity,mean_density_cnt,max_density_cnt,average_dc_ratio,max_dc_ratio,Residential Building Type
1,771 COMMONWEALTH AVENUE,42.351,-71.108,Student Support,73,25.448997973429407,309,0.3486164105949234,4.232876712328767,
2,771 COMMONWEALTH AVENUE,42.351,-71.108,Student Support,92,30.477225672877847,283,0.33127419209649833,3.0760869565217392,
1,775 COMMONWEALTH AVENUE,42.3509,-71.109,Student Support,534,78.56353344257411,534,0.14712272180257324,1.0,
1,1 UNIVERSITY ROAD,42.3512,-71.11,Academic,307,51.58559521265228,351,0.16803125476433967,1.1433224755700326,
1,745 - 755 COMMONWEALTH AVENUE,42.3505,-71.1073,Academic,129,40.21941260392581,319,0.31177839227849463,2.4728682170542635,
2,745 - 755 COMMONWEALTH AVENUE,42.3505,-71.1073,Academic,60,10.390212807688537,81,0.1731702134614756,1.35,
1,264-270 BAY STATE ROAD,42.3507,-71.1054,Academic,58,25.806375504640066,337,0.44493750870069076,5.810344827586207,
6,635 COMMONWEALTH AVENUE,42.3499,-71.102,Research,78,13.036603079306671,163,0.1671359369141881,2.08974358974359,
1,2 SILBER WAY,42.3497,-71.1009,Academic,87,73.43170503277962,417,0.8440425865836738,4.793103448275862,
6,595 COMMONWEALTH AVENUE,42.3496,-71.0997,Academic,255,11.401341480222355,85,0.04471114305969551,0.3333333333333333,
3,595 COMMONWEALTH AVENUE,42.3496,-71.0997,Academic,269,53.81736927635981,506,0.2000645698005941,1.8810408921933086,
4,285 BABCOCK STREET,42.354,-71.1203,Athletic,32,12.642807328979902,425,0.39508772903062195,13.28125,
1,120 ASHFORD STREET,42.3544,-71.1223,Administrative,319,15.24245950058176,60,0.047782004704018055,0.18808777429467086,
1,100 ASHFORD STREET,42.3546,-71.1236,Athletic,627,13.874281264973646,331,0.02212804029501379,0.5279106858054227,
4,590 COMMONWEALTH AVENUE,42.3484,-71.1002,Research,336,17.102079589216945,154,0.050899046396479006,0.4583333333333333,
3,730 COMMONWEALTH AVENUE,42.3496,-71.1069,Research,115,14.632888631090488,139,0.12724250983556945,1.208695652173913,
3,8 ST. MARY'S STREET,42.3492,-71.1061,Research,176,10.51416672356114,107,0.05973958365659738,0.6079545454545454,
1,1010 COMMONWEALTH AVENUE,42.3513,-71.121,Academic,92,62.838983774551664,365,0.6830324323320833,3.967391304347826,
2,900 COMMONWEALTH AVENUE,42.3506,-71.1162,Academic,206,20.485565041563692,118,0.09944449049302763,0.5728155339805825,
3,25 BUICK STREET,42.3519,-71.1152,Administrative,174,11.288877296702022,215,0.0648786051534599,1.235632183908046,
4,855 COMMONWEALTH AVENUE,42.3514,-71.1139,Academic,187,14.958388375165125,85,0.079991381685375,0.45454545454545453,
2,855 COMMONWEALTH AVENUE,42.3514,-71.1139,Academic,176,27.828382352941176,175,0.1581158088235294,0.9943181818181818,
3,855 COMMONWEALTH AVENUE,42.3514,-71.1139,Academic,189,32.050979354155636,253,0.16958190134473883,1.3386243386243386,
4,871 COMMONWEALTH AVENUE,42.3515,-71.1146,Academic,115,24.57164984243978,183,0.21366652036904155,1.5913043478260869,
3,871 COMMONWEALTH AVENUE,42.3515,-71.1146,Academic,177,27.52616111256888,185,0.15551503453428744,1.0451977401129944,
18,700 COMMONWEALTH AVENUE,42.3493,-71.104,Residential,133,17.41311180960934,120,0.13092565270382964,0.9022556390977443,Large Dormitory-Style
8,700 COMMONWEALTH AVENUE,42.3493,-71.104,Residential,133,20.643093528842726,91,0.1552112295401709,0.6842105263157895,Large Dormitory-Style
3,1019 COMMONWEALTH AVENUE,42.3523,-71.1214,Residential,57,15.221586201702191,66,0.2670453719596876,1.1578947368421053,Large Dormitory-Style
b,700 COMMONWEALTH AVENUE,42.3493,-71.104,Residential,0,53.27402332901315,363,inf,inf,Large Dormitory-Style
14,700 COMMONWEALTH AVENUE,42.3493,-71.104,Residential,133,15.418695006284995,67,0.11593003764124056,0.5037593984962406,Large Dormitory-Style
17,700 COMMONWEALTH AVENUE,42.3493,-71.104,Residential,133,11.392213140325701,42,0.08565573789718572,0.3157894736842105,Large Dormitory-Style
2,10 LENOX STREET,42.3487,-71.1099,Administrative,32,6.324349558072949,32,0.19763592368977967,1.0,
8,91 BAY STATE ROAD,42.3503,-71.097,Residential,59,8.018881692967254,43,0.1359132490333433,0.7288135593220338,Large Dormitory-Style
5,91 BAY STATE ROAD,42.3503,-71.097,Residential,59,9.087340462228354,37,0.15402271969878567,0.6271186440677966,Large Dormitory-Style
1,91 BAY STATE ROAD,42.3503,-71.097,Residential,262,20.3574635552353,142,0.07770024257723396,0.5419847328244275,Large Dormitory-Style
6,275 BABCOCK STREET,42.3528,-71.1204,Residential,53,8.171831637372803,38,0.15418550259193967,0.7169811320754716,Large Dormitory-Style
2,540 COMMONWEALTH AVENUE,,,Academic,38,35.294751131221716,404,0.9288092402953083,10.631578947368421,
7,700 COMMONWEALTH AVENUE,42.3493,-71.104,Residential,133,18.441151515151514,105,0.1386552745500114,0.7894736842105263,Large Dormitory-Style
6,700 COMMONWEALTH AVENUE,42.3493,-71.104,Residential,133,23.787350362899424,135,0.17885225836766486,1.0150375939849625,Large Dormitory-Style
10,700 COMMONWEALTH AVENUE,42.3493,-71.104,Residential,133,16.385428601187375,70,0.12319871128712312,0.5263157894736842,Large Dormitory-Style
18,33 HARRY AGGANIS WAY,42.3532,-71.1178,Residential,50,4.233986145557171,18,0.08467972291114341,0.36,Large Dormitory-Style
8,33 HARRY AGGANIS WAY,42.3532,-71.1178,Residential,50,10.121560368115013,50,0.20243120736230025,1.0,Large Dormitory-Style
11,33 HARRY AGGANIS WAY,42.3532,-71.1178,Residential,50,9.264161877625924,43,0.18528323755251846,0.86,Large Dormitory-Style
5,33 HARRY AGGANIS WAY,42.3532,-71.1178,Residential,50,12.0296479596601,49,0.240592959193202,0.98,Large Dormitory-Style
1,700 COMMONWEALTH AVENUE,42.3493,-71.104,Residential,171,33.36713651072232,314,0.19512945327907788,1.8362573099415205,Large Dormitory-Style
4,700 COMMONWEALTH AVENUE,42.3493,-71.104,Residential,353,46.68630952380953,398,0.1322558343450695,1.1274787535410764,Large Dormitory-Style
5,700 COMMONWEALTH AVENUE,42.3493,-71.104,Residential,133,12.043731931668857,162,0.09055437542608163,1.218045112781955,Large Dormitory-Style
9,700 COMMONWEALTH AVENUE,42.3493,-71.104,Residential,133,12.486826967326277,58,0.09388591704756599,0.43609022556390975,Large Dormitory-Style
